Designator,Mid X,Mid Y,Rotation,Layer
C1,67.31875,-53.0,0.0,top
C2,70.0,-46.25,180.0,top
C3,76.23,-53.0,0.0,top
C4,83.52,-50.3175,0.0,top
C5,78.0,-47.5,90.0,top
J1,74.9808,-32.8,90.0,top
R1,78.0,-51.26,90.0,top
R2,73.0,-54.0,0.0,top
R3,77.64,-54.65,0.0,top
R4,82.2425,-51.5675,180.0,top
U1,74.35,-49.4375,270.0,top
U2,67.31875,-49.5,0.0,top
U3,82.9925,-48.1675,180.0,top
